title,url,servings,prepTime,cookTime,totalTime,ingredients,directions,nutrition_calories,nutrition_total_fat,nutrition_saturated_fat,nutrition_cholesterol,nutrition_sodium,nutrition_total_carbohydrate,nutrition_dietary_fiber,nutrition_total_sugars,nutrition_protein,nutrition_vitamin_c,nutrition_calcium,nutrition_iron,nutrition_potassium
Homemade Phyllo (or Filo) Dough,https://www.allrecipes.com/recipe/259481/homemade-phyllo-or-filo-dough/,8,30m,not provided,2h 30m,"2 cups all-purpose flour, plus more for kneading | 5 teaspoons olive oil | 0.5 teaspoon fine salt | 0.75 cup warm water (110 degrees F (43 degrees C)) | 2 teaspoons white wine vinegar | 0.5 cup cornstarch | 2 tablespoons all-purpose flour","2. Gather all ingredients. | 3. Place 2 cups flour in a mixing bowl and make a well in the center; drizzle in olive oil and add salt. | 4. Pour in warm water and white wine vinegar, then mix until dough just comes together and pulls away from the sides of the bowl, 1 to 2 minutes. | 5. Transfer dough to a lightly floured work surface and knead until smooth, using just enough flour to keep it from sticking to the work surface or your hands, 2 or 3 minutes. Continue to knead until dough is supple and elastic, about 5 more minutes. | 6. Wrap dough ball in plastic wrap and let rest at room temperature, 1 to 2 hours. | 7. Use a kitchen scale to divide dough into twenty 25-gram portions; roll each portion into a ball. Place on a plate and cover with plastic wrap to prevent dough balls from drying out while you begin to roll them out. Work in batches of 5. | 8. Mix cornstarch and 2 tablespoons flour together in a bowl. Dust a work surface and the first dough ball with cornstarch mixture. | 9. Flatten and roll out into a circle, about 5 inches in diameter. Dust again with cornstarch mixture. Set circle to one side. Roll out 4 more dough balls to about the same diameter and stack them on the first one, dusting each layer with more cornstarch mixture to keep them from sticking together. | 10. When you have 5 circles, roll out the stack to a larger circle about double in size, turning as you go to maintain a round shape. Separate each layer and lay out the circles. Reapply more cornstarch mixture where needed and restack them. | 11. Roll again until the 5-layer stack is paper-thin, about 10 to 12 inches in diameter. Place on a sheet of parchment paper; top with another piece of parchment. Gently roll up the dough; wrap it in plastic wrap and refrigerate. | 12. Repeat with the remaining 15 balls of dough in batches of 5.",178kcal,3g,1g,not provided,148mg,33g,1g,0g,4g,not provided,6mg,2mg,36mg
Onigiri (Japanese Rice Balls),https://www.allrecipes.com/recipe/140422/onigiri-japanese-rice-balls/,4,20m,20m,1h 0m,"4 cups uncooked short-grain white rice | 5.5 cups water, divided | 0.25 teaspoon salt | 0.25 cup bonito shavings (dry fish flakes) | 2 sheets nori (dry seaweed), cut into 1/2-inch strips | 2 tablespoons sesame seeds","2. Wash rice in a mesh strainer until water runs clear. Combine washed rice and 4 1/2 cups water in a saucepan. Bring to a boil over high heat, stirring occasionally. Reduce heat to low; cover, and simmer rice until water is absorbed, 15 to 20 minutes. Let rice rest for 15 minutes to continue to steam and become tender. Allow cooked rice to cool. | 3. Combine remaining 1 cup water with salt in a small bowl; use to dampen hands before handling rice. Divide cooked rice into 8 equal portions. Use one portion of rice for each onigiri. | 4. Divide one portion of rice in two. Create a dimple in rice and fill with a heaping teaspoon of bonito flakes. Cover with remaining portion of rice and press lightly to enclose filling inside rice ball. Gently press rice to shape into a triangle; wrap with a strip of nori and sprinkle with sesame seeds. Repeat with remaining portions of rice.",744kcal,3g,1g,not provided,160mg,159g,6g,1g,14g,1mg,61mg,9mg,181mg
Grilled Chicken Adobo,https://www.allrecipes.com/recipe/45580/grilled-chicken-adobo/,8,15m,35m,50m,"1.5 cups soy sauce | 1.5 cups water | 0.75 cup vinegar | 3 tablespoons honey | 1.5 tablespoons minced garlic | 3 bay leaves | 0.5 teaspoon black pepper | 3 pounds skinless, boneless chicken thighs","2. Preheat an outdoor grill for high heat, and lightly oil grate. | 3. In a large pot, mix soy sauce, water, vinegar, honey, garlic, bay leaves, and pepper. Bring the mixture to a boil, and place the chicken into the pot. Reduce heat, cover, and cook 35 to 40 minutes. | 4. Remove chicken, drain on paper towels, and set aside. Discard bay leaves. Return the mixture to a boil, and cook until reduced to about 1 1/2 cups. | 5. Place chicken on the prepared grill, about 5 minutes on each side, until browned and crisp. Serve with the remaining soy sauce mixture.",255kcal,7g,2g,141mg,2854mg,11g,1g,7g,37g,1mg,32mg,3mg,510mg
Caldereta (Filipino Beef Stew),https://www.allrecipes.com/recipe/228239/caldereta-filipino-beef-stew/,6,20m,1h 5m,1h 25m,"3 tablespoons vegetable oil | 1.5 pounds cubed beef stew meat | salt and ground black pepper to taste | 3 cloves garlic, crushed | 3 cups water | 0.5 cup unsweetened pineapple juice | 1 onion, chopped | 1 (14 ounce) can tomato sauce | 0.25 cup tomato paste | 2 red potatoes, diced | 1 red bell pepper, sliced | 1 large carrot, sliced diagonally | 0.5 pound miniature cocktail sausages | 1 (8 ounce) can pineapple chunks, undrained | 1 (6 ounce) can medium pitted ripe olives, drained | 3 large bay leaves | 1 tablespoon hot pepper sauce (such as Tabasco®)","2. Heat vegetable oil in a large pot over medium heat. Sprinkle beef with salt and black pepper and brown in the hot oil with garlic, about 10 minutes. Pour in water, pineapple juice, onion, tomato sauce, and tomato paste. Bring to a boil, turn heat to low, and simmer until beef is almost tender, 35 to 45 minutes. | 3. Stir potatoes, red bell pepper, carrot, mini sausages, pineapple chunks with their juice, olives, and bay leaves into the stew. Bring back to a boil and simmer until potatoes are tender, about 20 more minutes. Season with hot pepper sauce, salt, and black pepper.",518kcal,36g,12g,86mg,1168mg,25g,4g,15g,26g,45mg,80mg,5mg,897mg
Chef John&#39;s Mulligatawny Soup,https://www.allrecipes.com/recipe/8466000/chef-johns-mulligatawny-soup/,6,30m,1h 10m,1h 40m,"1 tablespoon unsalted butter | 1 tablespoon vegetable oil | 1.25 cups boneless, skinless chicken thighs | 1 teaspoon kosher salt, or more to taste | 1 tablespoon curry powder | 1 teaspoon garam masala | 0.5 teaspoon ground cumin | 0.5 teaspoon freshly ground black pepper | 0.25 teaspoon ground mustard | 0.25 teaspoon ground coriander | 0.25 teaspoon cayenne pepper | 4 cloves garlic, minced | 1 tablespoon finely grated fresh ginger | 1 large yellow onion, diced | 2 carrots, diced | 2 stalks celery, diced | 1 tablespoon tomato paste | 1 cup cubed Yukon Gold potatoes | 0.5 cup seeded and diced tomato | 2 small Granny Smith apples - peeled, cored, and diced | 0.5 cup dry red lentils | 1 bay leaf | 1 teaspoon tamarind paste | 6 cups chicken broth | 3 tablespoons coconut cream | 0.5 cup plain Greek yogurt, or to taste | 0.25 cup chopped fresh cilantro, or to taste | 0.25 cup sliced green onion, or to taste | 1 pinch red pepper flakes, or to taste","2. Gather all ingredients. | 3. Melt butter and oil in a soup pot over medium-high heat. Add chicken thighs and season with salt; let brown for 4 to 5 minutes. Flip and brown on opposite side, 4 to 5 minutes more. | 4. While chicken browns, combine curry powder, garam masala, cumin, black pepper, ground mustard, coriander, and cayenne in a small bowl. | 5. Remove browned chicken from the pot and transfer to a plate to cool enough to handle; roughly chop or shred. | 6. While chicken cools, reduce heat to medium and add spice blend to pot; cook and stir until fragrant, about 30 seconds. Add garlic and ginger; cook and stir until fragrant, about 1 minute. Add onions, carrots, and celery. Season with salt and cook, stirring, until onions turn translucent, 3 to 4 minutes. | 7. Stir in tomato paste and continue to cook for 3 minutes more. | 8. Stir in potatoes, tomatoes, and apples. Add red lentils, bay leaf, and tamarind paste. | 9. Pour in chicken broth, stir, and raise heat to high; add coconut cream. Bring to a simmer. Stir and reduce heat to medium-low. Let simmer, stirring occasionally, for about 30 minutes. | 10. Stir chopped chicken and any accumulated juices into the soup. Continue to let simmer, stirring occasionally, until vegetables are fully cooked, lentils are tender, and soup has thickened, 20 to 30 minutes more. Taste and adjust as needed. | 11. Serve in warm bowls topped with Greek yogurt, cilantro, and scallions. Sprinkle with red chili flakes.",263kcal,9g,3g,54mg,1591mg,29g,6g,not provided,18g,not provided,not provided,not provided,not provided
Quick Beef Stir-Fry,https://www.allrecipes.com/recipe/228823/quick-beef-stir-fry/,4,15m,10m,25m,"2 tablespoons vegetable oil | 1 pound beef sirloin, cut into 2-inch strips | 1.5 cups fresh broccoli florets | 1 red bell pepper, cut into matchsticks | 2 carrots, thinly sliced | 1 green onion, chopped | 1 teaspoon minced garlic | 2 tablespoons soy sauce | 2 tablespoons sesame seeds, toasted","2. Gather all ingredients. | 3. Heat vegetable oil in a large wok or skillet over medium-high heat; add beef and stir-fry until browned, 3 to 4 minutes. | 4. Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok; stir-fry vegetables for 2 minutes. | 5. Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes. | 6. Serve hot and enjoy!",268kcal,16g,4g,49mg,526mg,9g,3g,3g,23g,not provided,not provided,not provided,not provided
Mexican Strawberry Agua Fresca ,https://www.allrecipes.com/recipe/141370/mexican-strawberry-water-agua-de-fresa/,10,25m,not provided,4h 25m,"4 cups strawberries, sliced | 1 cup white sugar | 8 cups cold water | 5 cups ice cubes | 1 lime, cut into 8 wedges | 8 fresh mint sprigs","2. Gather all ingredients. | 3. Mix together strawberries, sugar, and 1 cup cold water in a medium bowl. Cover the bowl with plastic wrap and place in the refrigerator for 4 hours. | 4. Pour chilled strawberry mixture into a blender. Blend on high until smooth. | 5. Pour through a wire mesh strainer set over a large bowl; discard pulp and seeds. | 6. Stir remaining 7 cups cold water into strawberry juice until aqua de fresa is well combined. | 7. Fill glasses with ice. Pour aqua de fresa over ice. Garnish each serving with lime wedges and mint leaves.",100kcal,0g,not provided,not provided,7mg,26g,1g,23g,1g,40mg,23mg,0mg,108mg
Char Siu (Chinese BBQ Pork),https://www.allrecipes.com/recipe/232681/char-siu-chinese-bbq-pork/,4,10m,35m,2h 45m,0.5 cup soy sauce | 0.333 cup honey | 0.333 cup ketchup | 0.333 cup brown sugar | 0.25 cup Chinese rice wine | 2 tablespoons hoisin sauce | 2 tablespoons red bean curd | 1 teaspoon Chinese five-spice powder | 2 (1 pound) pork tenderloins,"2. Gather all ingredients. | 3. Stir soy sauce, honey, ketchup, brown sugar, rice wine, hoisin sauce, red bean curd, and five-spice powder together in a saucepan over medium-low heat. Cook and stir until just combined and slightly warm, 2 to 3 minutes. | 4. Meanwhile, slice each pork tenderloin lengthwise into 1 ½- to 2-inch-thick strips. Place pork strips in a large, resealable plastic bag. | 5. Pour marinade into the bag with the pork. Squeeze air from the bag, seal, and turn the bag a few times until pork is well coated. Marinate in the refrigerator, 2 hours to overnight. | 6. When ready to cook, preheat a charcoal grill for medium-high heat and lightly oil the grate. | 7. Remove pork from marinade and shake to remove excess liquid. Set aside the remaining marinade for basting. | 8. Rake the hot coals into two equal piles on opposite sides of the charcoal grate. Add a small container of water to the grate. Place pork strips in the center of the grate for indirect cooking. | 9. Cook pork over indirect heat, turning regularly and basting as desired, until an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 30 minutes or longer. | 10. Serve hot and enjoy!",483kcal,9g,3g,127mg,2250mg,54g,1g,48g,44g,not provided,not provided,not provided,not provided
Miso Soup,https://www.allrecipes.com/recipe/13107/miso-soup/,4,5m,10m,15m,"4 cups water | 2 teaspoons dashi granules | 3 tablespoons miso paste | 1 (8 ounce) package silken tofu, diced | 2 green onions, sliced diagonally into 1/2 inch pieces","2. Gather all ingredients. | 3. Combine water and dashi granules in a medium saucepan over medium-high heat; bring to a boil. | 4. Reduce heat to medium and whisk in miso paste. | 5. Stir in tofu. | 6. Separate the layers of green onions, and add them to the soup. Simmer gently for 2 to 3 minutes before serving.",63kcal,2g,0g,not provided,513mg,5g,1g,2g,6g,1mg,38mg,1mg,159mg
Microwave Mochi,https://www.allrecipes.com/recipe/43486/microwave-mochi/,25,5m,10m,15m,"1.5 cups mochiko (glutinous rice flour) | 1.5 cups water | 1.25 cups white sugar, divided | 2 drops distilled white vinegar | 0.5 cup potato starch | 0.25 teaspoon salt","2. Mix together mochiko, water, and 1 cup sugar in a medium bowl until well blended. Mix in vinegar to soften. Pour into a microwave-safe dish and loosely cover with plastic wrap. Microwave on high for 8 to 10 minutes. Remove and let cool until cool enough to handle. | 3. Combine potato starch, remaining 1/4 cup sugar, and salt in a small bowl. Turn mochi out onto the plastic wrap and cut into 25 pieces using a plastic or wooden knife (metal knives tend to stick too much). Roll pieces in the potato starch mixture.",83kcal,0g,not provided,not provided,24mg,20g,0g,10g,1g,not provided,2mg,0mg,8mg
Gluehwein (German Mulled Wine),https://www.allrecipes.com/recipe/140472/gluehwein-german-mulled-wine/,4,10m,1h 0m,1h 10m,"1 gallon red wine | 8 (3 inch) cinnamon sticks | 12 whole cloves | 0.75 cup white sugar | 0.5 cup fresh-squeezed lemon juice | 1 orange, sliced into rounds","2. Pour wine into a large pot and set over medium heat. Let it warm up until steam rises from the surface, but do not allow it to boil. Add cinnamon sticks, cloves, lemon juice, and sugar; stir to dissolve sugar. Float orange slices on the surface. Warm over medium heat for 5 minutes, being careful not to let it boil. Remove from heat and let stand for 1 hour. | 3. Pour through a colander to remove orange slices and whole spices. Serve hot, or refrigerate and reheat gently just before serving.",not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided,not provided
Green Onion Garlic Naan Bread,https://www.allrecipes.com/recipe/8467738/green-onion-garlic-naan-bread/,6,20m,3m,38m,"1.5 cups bread flour, plus more as needed | 0.5 teaspoon kosher salt | 2 teaspoons baking powder | 1 cup plain Greek yogurt | 4 cloves garlic, crushed | 0.5 cup thinly sliced green onions | 2 tablespoons melted butter","2. Place bread flour in a bowl. Add salt and baking powder and give it a good whisk until evenly combined. | 3. Add in Greek yogurt gently, followed by garlic and green onions. Take a wooden spoon and slowly start mixing everything together. Keep mixing, stirring, and pressing until a shaggy dough forms. | 4. Transfer dough to a work surface and use your hands to press dough together. Knead for a few minutes until dough becomes elastic and a little bit sticky. Add a bit more flour as necessary but try to keep extra flour at an absolute minimum. Knead until dough is a little bit stretchy, 3 to 5 minutes. | 5. Wrap in plastic and allow to rest on the counter for 15 to 20 minutes. | 6. Take a bench scraper and cut into 6 equal pieces. Take 1 portion and roll into a ball. Place onto a generously floured surface. Use a rolling pin to roll out nice and thin, about 1/8 inch or less. It&#39;s ok if the naan is not a perfect circle. You will need extra flour for rolling out as the dough is sticky, but try to use as little as possible. | 7. Heat a cast iron skillet over medium-high heat until hot. Transfer dough circles into the hot dry skillet and cook until little bubbles form on the surface and the underside is lightly browned, about 1 minute. Flip naan over and cook for 1 more minute. Press down slightly with a spatula to increase the heat during cooking. Flip over twice more and cook for an additional 15 seconds per side, but make sure not to overcook to preserve the texture. Naan should still be flexible when you remove it from the skillet onto a plate. | 8. Cover with a kitchen towel to keep warm and moist while you cook the other naan breads. Stack all 6 naan breads on top of each other and keep covered with a kitchen towel. | 9. When you are finished cooking all 6 naan breads, unstack breads and brush the first naan bread on both sides with a little bit of melted butter. Stack second piece of naan on top and only brush the top side. Keep stacking and buttering all the naan breads. Fold each naan into a triangle and serve.",282kcal,5g,3g,10mg,368mg,53g,3g,not provided,10g,not provided,not provided,not provided,419mg
Yum Yum Sauce,https://www.allrecipes.com/recipe/205616/yum-yum-sauce/,12,5m,not provided,8h 5m,1.25 cups mayonnaise | 0.25 cup water | 1 tablespoon melted butter | 1 teaspoon tomato paste | 1 teaspoon white sugar | 0.5 teaspoon garlic powder | 0.25 teaspoon paprika | 1 pinch cayenne pepper,"2. Gather all ingredients. | 3. Whisk mayonnaise, water, melted butter, tomato paste, sugar, garlic powder, paprika, and cayenne together until smooth. Cover and refrigerate, 8 hours to overnight.",175kcal,19g,3g,11mg,141mg,1g,0g,1g,0g,0mg,2mg,0mg,11mg
Eggs in Purgatory,https://www.allrecipes.com/recipe/265087/uova-in-purgatorio-eggs-in-purgatory/,2,5m,15m,20m,"2 tablespoons extra-virgin olive oil | 1 clove garlic, crushed | 3 black Italian olives, pitted and chopped, or more to taste | 1 teaspoon capers | 1 anchovy fillet in oil, drained | 7 ounces passata (crushed tomatoes) | 0.5 cup water | 1 sprig chopped fresh parsley | salt to taste | 2 eggs","2. Gather the ingredients. | 3. Heat oil in a skillet over low heat. Add garlic, olives, capers, and anchovy; cook for 1 to 2 minutes. | 4. Add tomato sauce and water, bring to a boil, and simmer until flavors combine, about 10 minutes. Add parsley and season with salt. | 5. Gently add eggs directly into tomato sauce without breaking the yolks. Cook until eggs are just cooked, 3 to 5 minutes.",245kcal,20g,4g,188mg,470mg,10g,3g,1g,9g,28mg,96mg,4mg,454mg
German Apple Cake,https://www.allrecipes.com/recipe/7915/german-apple-cake-i/,24,15m,45m,1h 0m,"1 cup vegetable oil | 2 eggs | 2 cups white sugar | 1 teaspoon vanilla extract | 2 cups all-purpose flour | 2 teaspoons ground cinnamon | 1 teaspoon baking soda | 0.5 teaspoon salt | 4 cups apples - peeled, cored and diced","2. Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9x13-inch cake pan. | 3. Beat oil and eggs in a mixing bowl with an electric mixer until creamy. Add sugar and vanilla; beat well. | 4. Stir together flour, cinnamon, baking soda, and salt in a bowl. Slowly add flour mixture to egg mixture; mix until combined. The batter will be very thick. Fold in apples by hand using a wooden spoon. Spread batter into the prepared pan. | 5. Bake cake in the preheated oven until a toothpick inserted into the center comes out clean, about 45 minutes. Cool cake on a wire rack.",201kcal,10g,1g,16mg,107mg,28g,1g,19g,2g,1mg,7mg,1mg,41mg
German Rhubarb Streusel Cake,https://www.allrecipes.com/recipe/263341/german-rhubarb-streusel-cake/,8,20m,40m,1h 30m,"2 cups all-purpose flour | 0.5 cup white sugar | 1 egg | 2 teaspoons vanilla sugar | 0.5 cup unsalted butter, softened and cubed | 3.5 cups chopped rhubarb | 2 tablespoons unsalted butter, cubed","2. Sift flour into a large bowl, making a well in the center. Add 1/2 white cup sugar, egg, and vanilla sugar into well. Distribute 1/2 cup softened and cubed butter evenly on top; mix into a dough using your hands. Cover and refrigerate for 30 minutes. | 3. Preheat the oven to 325 degrees F (165 degrees C). Grease a 9-inch springform pan. | 4. Place 2/3 of the dough in the prepared pan, smoothing out any bubbles. Cover with rhubarb. | 5. Crumble remaining dough between your fingers and sprinkle over rhubarb. Sprinkle with remaining 3 tablespoons white sugar, then scatter 2 tablespoons cold cubed butter over streusel. | 6. Bake in the preheated oven until streusel is lightly brown and crisp, 40 to 50 minutes.",322kcal,15g,9g,61mg,12mg,42g,1g,18g,4g,1mg,18mg,2mg,65mg
Mongolian Beef and Spring Onions,https://www.allrecipes.com/recipe/201849/mongolian-beef-and-spring-onions/,4,15m,10m,35m,"2 teaspoons vegetable oil | 1 tablespoon finely chopped garlic | 0.5 teaspoon grated fresh ginger root | 0.66666668653488 cup dark brown sugar | 0.5 cup soy sauce | 0.5 cup water | 1 pound beef flank steak, sliced 1/4 inch thick on the diagonal | 0.25 cup cornstarch | 1 cup vegetable oil for frying | 2 bunches green onions, cut in 2-inch lengths","2. Gather all ingredients. | 3. Heat 2 teaspoons of vegetable oil in a saucepan over medium heat. Add garlic and ginger; cook and stir until fragrant, about 30 seconds. | 4. Stir in brown sugar, soy sauce, and water. | 5. Increase heat to medium-high; stir until sauce boils and slightly thickens, about 4 minutes. Remove sauce from the heat and set aside. | 6. Place beef into a large bowl; add cornstarch and mix until beef is thoroughly coated. | 7. Set aside until most of the cornstarch has been absorbed, about 10 minutes. | 8. Heat vegetable oil in a deep skillet to 375 degrees F (190 degrees C). Shake excess cornstarch from beef slices and drop into hot oil, a few at a time, stirring briefly and frying until edges become crisp, about 2 minutes. | 9. Remove beef with a large slotted spoon; drain on paper towels. | 10. Remove excess oil from the skillet, then heat the skillet over medium heat; add beef slices and stir in prepared sauce. Add green onions and bring to a boil; cook until the onions have just softened and are bright green, about 1 to 2 minutes. | 11. Serve and enjoy!",391kcal,12g,3g,27mg,1862mg,55g,3g,39g,18g,22mg,130mg,4mg,606mg
Sausage and Sauerkraut,https://www.allrecipes.com/recipe/216081/sausage-and-sauerkraut/,5,15m,3h 20m,3h 35m,"2 pounds sauerkraut, rinsed and drained | 1 tablespoon caraway seeds | 0.25 cup brown sugar | 1 apple, diced | cooking spray | 0.5 pound bacon, cut into 1-inch pieces | 1 large onion, chopped | 1.5 pounds kielbasa sausage, cut into 1-inch thick slices","2. Gather the ingredients. | 3. Place sauerkraut, caraway seeds, brown sugar, and apple into a large saucepan over medium-low heat, and bring to a simmer. Reduce heat to low, and cook for 2 hours, stirring occasionally. | 4. Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x13-inch baking dish. Place bacon and onion into a skillet over medium heat, and cook until bacon is almost crisp and onion is beginning to brown, about 10 minutes. Stir the bacon mixture into the sauerkraut. | 5. Brown kielbasa sausage in remaining bacon grease in the same skillet until sausage begins to brown, 10 to 15 minutes; stir into the sauerkraut mixture. | 6. Spoon the sauerkraut and sausage mixture into the prepared baking dish. Bake in the preheated oven until bubbling, about 1 hour.",777kcal,62g,26g,128mg,2702mg,29g,7g,20g,25g,31mg,84mg,3mg,509mg
German Beef Rouladen,https://www.allrecipes.com/recipe/149686/german-beef-rouladen/,8,20m,35m,55m,"0.25 cup Dijon mustard | 8 (4 ounce) pieces round steak, pounded 1/4 inch thick | 0.5 cup minced onion | 2 teaspoons paprika | 2 teaspoons salt | 2 teaspoons freshly ground black pepper | 8 slices bacon | 3 tablespoons canola oil | 1 (12 ounce) can beef broth | 1.25 cups water | 2 tablespoons cornstarch | 1 cup warm water | 0.25 cup sour cream","2. Spread 1/2 tablespoon mustard over one side of each piece of steak; sprinkle onion, paprika, salt, and pepper evenly over the steaks. | 3. Lay one slice of bacon on each piece; roll up steaks jelly roll-style and secure with toothpicks. | 4. Heat canola oil in a skillet over medium heat; cook beef rouladen on all sides until browned. Add broth and water; bring to a boil. Reduce heat to medium-low; cover and simmer until tender, about 30 minutes. | 5. Remove beef rouladen; strain broth mixture and return liquid to the skillet. Whisk cornstarch and 1 cup of water together until smooth; slowly pour cornstarch mixture into the skillet, stirring continually until the sauce has thickened, 2 to 3 minutes. | 6. Stir in sour cream; return rolls to the sauce and serve immediately.",351kcal,16g,5g,113mg,1133mg,5g,1g,1g,45g,1mg,24mg,4mg,489mg
Dashi Stock (Konbudashi),https://www.allrecipes.com/recipe/175594/dashi-stock-konbudashi/,8,5m,5m,1h 0m,1 ounce dashi kombu (dried kelp) | 1 quart water | 0.5 cup bonito flakes,"2. Wipe off any dirt from kombu with a paper towel, being careful not to rub off the white powdery deposits on the seaweed. Soak kombu in water in a saucepan for 30 minutes to soften. | 3. Transfer kombu to a cutting board; cut several slits, lengthwise, into the leaf. Return kombu to water in the saucepan; bring to a boil. As soon as water begins to boil, remove kombu to prevent stock from becoming bitter. | 4. Stir bonito flakes into kombu-flavored water; bring back to a boil, then remove pan from heat. Allow dashi to cool. When bonito flakes settle on bottom, strain dashi through a strainer lined with cheesecloth or a coffee filter.",12kcal,not provided,not provided,not provided,111mg,2g,not provided,not provided,1g,not provided,4mg,not provided,1mg
Pork Roast and Sauerkraut,https://www.allrecipes.com/recipe/240836/pork-roast-and-sauerkraut/,8,15m,6h 25m,6h 40m,"1 tablespoon bacon drippings | 1 cup minced onion | 1 large red apple, diced | 1 teaspoon caraway seeds | 2 pounds sauerkraut, drained and rinsed | 0.5 cup dry white wine | 0.5 cup chicken stock | 2 tablespoons brown sugar | 2 pounds boneless pork loin roast | 1 pound kielbasa sausage, cut into 3-inch pieces","2. Heat bacon drippings in a Dutch oven over medium heat. Cook and stir onion in hot drippings until soft and translucent, about 5 minutes. Stir in apple and caraway seeds and cook until apple is just tender, about 3 minutes more. Stir in sauerkraut until incorporated. | 3. Stir together white wine, chicken stock, and brown sugar in a medium bowl; pour over sauerkraut mixture. | 4. Place pork roast into a slow cooker. Pour sauerkraut mixture over the top of pork. | 5. Cook on Low until pork easily falls apart when pulled with a fork, 6 to 8 hours. Add sausage and continue to cook until sausage is heated through, 15 to 20 minutes more.",406kcal,25g,9g,91mg,1341mg,16g,4g,10g,27g,20mg,70mg,3mg,692mg
Mandelmakronen (Almond Meringues),https://www.allrecipes.com/recipe/261002/mandelmakronen-almond-meringues/,48,20m,15m,35m,"4 egg whites | 1 cup white sugar | 1.5 cups almond flour, or more as needed | 0.25 teaspoon ground cinnamon","2. Preheat the oven to 300 degrees F (150 degrees C). Line two baking sheets with parchment paper. | 3. Beat egg whites in a glass, metal, or ceramic bowl until stiff peaks form. Gradually add sugar, 1 teaspoon at a time, while continuing to beat at high speed. Combine almond flour and cinnamon in a bowl and fold into egg white mixture with a spatula. Add more ground almonds if mixture is too runny. | 4. Use two teaspoons to place little mounds of almond mixture 2 inches apart onto the prepared baking sheets. | 5. Bake in the preheated oven until lightly browned and baked through, 15 to 20 minutes. Carefully remove from baking sheets and cool on wire racks.",40kcal,2g,0g,not provided,5mg,5g,0g,4g,1g,not provided,0mg,not provided,5mg
Slow Cooker Butter Chicken,https://www.allrecipes.com/recipe/174543/slow-cooker-butter-chicken/,6,15m,4h 15m,4h 30m,"2 tablespoons butter | 2 tablespoons vegetable oil | 4 large skinless, boneless chicken thighs, cut into bite-sized pieces | 1 onion, diced | 3 cloves garlic, minced | 1 (6 ounce) can tomato paste | 1 tablespoon curry paste | 2 teaspoons curry powder | 2 teaspoons tandoori masala | 1 teaspoon garam masala | 15 green cardamom pods | 1 (14 ounce) can coconut milk | 1 cup low-fat plain yogurt | salt to taste","2. Gather all ingredients. | 3. Heat butter and vegetable oil in a large skillet over medium heat. Stir in chicken, onion, and garlic. Cook and stir until onion has softened and turned translucent, about 10 minutes. | 4. Stir in tomato paste, curry paste, curry powder, tandoori masala, and garam masala until no lumps of tomato paste remain. | 5. Pour mixture into a slow cooker; stir in cardamom pods, coconut milk, and yogurt. Season with salt. | 6. Cook on High for 4 to 6 hours or Low for 6 to 8 hours, or until chicken is tender and sauce has reduced to the desired consistency. Remove and discard cardamom pods before serving.",501kcal,37g,20g,146mg,320mg,19g,2g,11g,30g,10mg,109mg,5mg,846mg
Traci&#39;s Adobo Seasoning,https://www.allrecipes.com/recipe/214086/tracis-adobo-seasoning/,21,5m,not provided,5m,2 tablespoons salt | 1 tablespoon paprika | 2 teaspoons ground black pepper | 1.5 teaspoons onion powder | 1.5 teaspoons dried oregano | 1.5 teaspoons ground cumin | 1 teaspoon garlic powder | 1 teaspoon chili powder,"2. Stir together salt, paprika, black pepper, onion powder, oregano, cumin, garlic powder, and chili powder in a bowl. | 3. Store in a sealed jar in a cool, dry place.",4kcal,0g,not provided,not provided,666mg,1g,0g,0g,0g,1mg,6mg,0mg,20mg
Japanese Tamago Egg,https://www.allrecipes.com/recipe/221923/japanese-tamago-egg/,6,15m,10m,25m,"4 eggs | 0.25 cup prepared dashi stock | 1 tablespoon white sugar | 1 teaspoon mirin (Japanese sweet wine) | 0.5 teaspoon soy sauce | 0.5 teaspoon vegetable oil, or more as needed","2. Gather all ingredients. | 3. Beat eggs thoroughly in a bowl; whisk in dashi stock, sugar, mirin, and soy sauce until sugar has dissolved. Lightly grease a nonstick skillet and heat over medium heat. | 4. Pour a thin layer of egg mixture into the hot pan and swirl to coat the pan. Cook until egg layer is firm on the bottom but still slightly liquid on top, about 1 minute. | 5. Then lift up one edge using a spatula and roll up the egg layer. | 6. Push omelet roll to one side of the skillet. Oil the skillet again and pour in another thin layer of egg, lifting the first omelet roll up slightly to allow the egg to flow underneath. | 7. Roll up the first omelet in the new layer of egg and push omelet to the edge of the skillet as before. | 8. Repeat the process with the remaining egg mixture, oiling the pan each time if needed. | 9. Remove rolled omelet to a serving platter and cut into 6 equal pieces to serve.",63kcal,4g,1g,124mg,87mg,3g,not provided,3g,4g,not provided,not provided,not provided,not provided
