ingredient,effect,reason
dried purple corn,negative,"Corn is a source of phosphorus and potassium, which are concentrated when dried."
dried red chili flake,positive,"Used in small amounts, it adds flavor without adding sodium."
dry corn muffin mix,negative,Processed mixes are typically high in sodium and contain phosphate additives.
dry egg noodle,neutral,
dry kidney bean,very negative,"Extremely high in both potassium and phosphorus, which must be limited in a kidney-friendly diet."
dry milk powder,very negative,"A concentrated source of dairy, making it very high in both potassium and phosphorus."
dry mushroom gravy mix,very negative,Processed mixes are extremely high in sodium and often contain phosphate additives.
dry mustard,positive,A spice that adds flavor without sodium.
dry onion soup mix,very negative,Extremely high in sodium.
dry red wine,neutral,
dry white wine,neutral,
dry yeast,neutral,
duck blood,negative,"Very high in protein and phosphorus, which need to be carefully managed."
duck breast half,neutral,A source of protein that is acceptable when portion sizes are controlled according to individual dietary needs.
duck fat,neutral,
duck leg,neutral,A source of protein that is acceptable when portion sizes are controlled according to individual dietary needs.
dulce de leche,negative,"Made from concentrated milk, making it high in phosphorus and potassium."
dumpling wrapper,neutral,
dungeness crab,negative,"High in protein and phosphorus, and can be high in sodium depending on preparation."
durian,very negative,A fruit that is exceptionally high in potassium.
dusting,neutral,"This is a technique, not a specific ingredient. The effect depends on what is used for dusting (e.g., flour, sugar)."
edible flower,neutral,
egg,negative,The yolk is very high in phosphorus. Egg whites are a better choice.
egg noodle,neutral,"A refined pasta that is generally low in potassium and phosphorus, but portion size is important."
egg roll wrapper,negative,Typically high in sodium.
egg substitute,negative,Can be high in sodium and may contain phosphate additives.
egg white,positive,An excellent source of high-quality protein that is low in phosphorus.
egg yolk,very negative,Very high in phosphorus and should be avoided or severely limited.
eggnog,very negative,"Made with milk and egg yolks, making it very high in phosphorus and potassium."
eggplant,positive,"A low-potassium vegetable, making it a good choice for a kidney-friendly diet."
elbow macaroni,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
elephant garlic,positive,A good way to add flavor without sodium; low in potassium.
elk steak,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
emmental cheese,very negative,All cheese is high in sodium and phosphorus.
empanada dough,negative,Typically high in sodium.
empanada pastry disc,negative,Typically high in sodium.
empanada pastry round,negative,Typically high in sodium.
english cucumber,positive,"Low in potassium, phosphorus, and sodium."
english mustard,negative,Prepared mustards are typically very high in sodium.
english walnut,very negative,Nuts are very high in phosphorus and potassium.
enoki mushroom,negative,Mushrooms are a source of potassium and should be limited.
evaporated milk,very negative,"A concentrated source of dairy, making it very high in phosphorus and potassium."
extra virgin olive oil,positive,"A healthy fat that is free of sodium, potassium, and phosphorus."
farina,positive,A refined wheat cereal that is low in phosphorus and potassium.
farina cereal,positive,A refined wheat cereal that is low in phosphorus and potassium.
farmers cheese,negative,"While lower than aged cheeses, it is still a source of sodium and phosphorus."
fava bean,very negative,Beans are very high in both potassium and phosphorus.
fennel seed,neutral,
fenugreek,neutral,
fenugreek leaf,neutral,
fenugreek seed,neutral,
fermented black bean,very negative,Extremely high in sodium.
fermented soybean,very negative,Products like miso and soy sauce are very high in sodium and phosphorus.
feta cheese,very negative,Very high in sodium and a significant source of phosphorus.
fettuccine pasta,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
fettuccini noodle,positive,"Refined pasta is a good source of energy and is low in phosphorus, potassium, and sodium."
fiddlehead fern,negative,A source of potassium and phosphorus.
filling,neutral,Effect depends entirely on the specific ingredients of the filling.
fines herb,positive,Using herbs is an excellent way to add flavor to food without using salt.
fire roasted diced tomato,very negative,Tomatoes and all tomato products are very high in potassium.
firm silken tofu,negative,Contains moderate amounts of phosphorus and potassium and must be portion controlled.
firm tofu,negative,Contains moderate amounts of phosphorus and potassium and must be portion controlled.
fish sauce,very negative,Extremely high in sodium.
fish stock,negative,Commercial stocks and broths are typically very high in sodium.
five spice powder,neutral,
flank steak,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
flat iron steak,negative,Red meat is a source of high-quality protein but is also high in phosphorus and should be limited.
flat leaf italian parsley,negative,"High in potassium, especially when used in large quantities rather than as a garnish."
flat leaf parsley,negative,"High in potassium, especially when used in large quantities rather than as a garnish."
flat rice noodle,positive,"Made from rice flour, which is low in potassium, phosphorus, and sodium."
flaxseed meal,negative,"High in phosphorus and potassium, which need to be restricted in a renal diet."
flaxseed oil,positive,"A good source of anti-inflammatory omega-3 fatty acids and is low in sodium, potassium, and phosphorus."
flour,neutral,
flour tortilla,negative,Can be high in sodium and phosphorus from leavening agents and preservatives.
foil,neutral,
food coloring,neutral,
french baguette,negative,"Made from refined flour, but is often very high in sodium."
french bread,negative,"Made from refined flour, but is often very high in sodium."
french bread baguette,negative,"Made from refined flour, but is often very high in sodium."
french cut green bean,positive,Green beans are a low-potassium vegetable suitable for a renal diet. Choose 'no salt added' if canned.
french fry,very negative,"Made from potatoes, which are very high in potassium. They are also typically high in sodium and unhealthy fats."
french green lentil,very negative,Lentils are very high in both potassium and phosphorus.
french sandwich roll,negative,Can be very high in sodium.
french style green bean,positive,Green beans are a low-potassium vegetable suitable for a renal diet. Choose 'no salt added' if canned.
french fried onion,very negative,"Very high in sodium, fat, and often contains phosphorus additives."
fresh ginger,positive,Has anti-inflammatory properties and adds flavor without sodium.
freshly ground black pepper,positive,An excellent salt-free seasoning to add flavor to food.
fresno chile,positive,Adds flavor without sodium and is low in potassium in typical serving sizes.
fresno chile pepper,positive,Adds flavor without sodium and is low in potassium in typical serving sizes.
fried pork skin,very negative,Extremely high in sodium and unhealthy fats.
fried shallot,negative,High in fat from frying and often high in sodium.
frozen puff pastry,negative,Typically very high in sodium and unhealthy fats.
fruit cocktail,negative,"Often packed in high-sugar syrup, and the potassium content can be high depending on the fruits included."
fruit jam,negative,"Very high in sugar, which should be limited for overall health and in cases of diabetes co-morbidity."
fruit preserve,negative,"Very high in sugar, which should be limited for overall health and in cases of diabetes co-morbidity."
fruity red wine,negative,"Contains alcohol and potassium, both of which should be limited or avoided."
frying,negative,This cooking method adds significant unhealthy fat and can create harmful compounds (AGEs) linked to kidney damage.
full fat plain greek yogurt,very negative,"Very high in protein, potassium, and phosphorus, all of which are typically restricted."
furikake seasoning,very negative,A seasoning blend that is typically very high in sodium and potassium (from seaweed).
gai lan,negative,"Also known as Chinese broccoli, this vegetable is high in potassium."
galangal,positive,"Similar to ginger, it has anti-inflammatory properties and adds flavor without sodium."
galangal powder,neutral,
gandule,very negative,"Also known as pigeon peas, these are beans that are very high in potassium and phosphorus."
garam masala,positive,A salt-free spice blend that can be used to flavor food instead of salt.
garbanzo bean,very negative,"Also known as chickpeas, these beans are very high in potassium and phosphorus."
garlic,positive,Excellent for adding flavor without sodium and has potential anti-inflammatory properties.
garlic basil spread,negative,"Prepared spreads are typically high in sodium and may contain cheese, which adds phosphorus."
garlic chili sauce,very negative,Commercially prepared sauces like this are typically extremely high in sodium.
garlic clove,positive,Excellent for adding flavor without sodium and has potential anti-inflammatory properties.
garlic marinade,very negative,Marinades are typically extremely high in sodium.
garlic paste,negative,Often contains added salt; check the label for a salt-free version.
garlic powder,positive,A good salt-free seasoning to add flavor to food.
garlic salt,very negative,"A combination of garlic powder and salt, making it very high in sodium."
gelatin,negative,"A source of protein, which may need to be limited depending on the stage of kidney disease."
german bologna block,very negative,"A processed meat that is very high in sodium, protein, and phosphorus additives."
german stone ground mustard,negative,Mustards are often very high in sodium.
ghee,neutral,
gin,negative,Alcohol consumption should be limited or avoided with kidney disease.
ginger,positive,Has anti-inflammatory properties and adds flavor without sodium.
ginger garlic paste,negative,Often contains added salt; check the label for a salt-free version.
ginger paste,positive,Anti-inflammatory properties and generally low in potassium. Check label for added sodium.
ginger root,positive,Anti-inflammatory properties and generally low in potassium.
gingersnap cookie,negative,"Processed food, high in sugar and likely contains added sodium and phosphorus."
gluten free all purpose baking flour,neutral,
glutinous rice flour,neutral,
glutinous sweet rice,neutral,
glutinous sticky white rice,neutral,
glutinous white rice,neutral,
goat cheese,negative,High in sodium and phosphorus.
goat meat,negative,"High in protein, phosphorus, and potassium, requiring strict portion control."
goat stew meat,negative,"High in protein, phosphorus, and potassium, requiring strict portion control."
gochugaru,neutral,
gochujang,very negative,Extremely high in sodium.
gold potato,very negative,Very high in potassium.
golden mushroom soup,very negative,Canned soups are very high in sodium and often contain phosphate additives.
golden raisin,very negative,Dried fruit is a concentrated source of potassium.
golden syrup,neutral,
gouda cheese,negative,High in sodium and phosphorus.
graham cracker,negative,"Processed food containing significant sodium, phosphorus, and sugar."
graham cracker crumb,negative,"Processed food containing significant sodium, phosphorus, and sugar."
graham cracker crust,negative,"Processed food containing significant sodium, phosphorus, and sugar."
gram flour,negative,"Made from chickpeas, which are high in potassium and phosphorus."
granny smith apple,positive,"A low-potassium fruit, which is a good choice for a kidney-friendly diet."
granulated onion,neutral,
granulated sugar,neutral,
grape leaf,negative,"Typically preserved in brine, making it very high in sodium."
grape tomato,negative,Tomatoes are high in potassium.
grapefruit juice,very negative,"Can dangerously interact with common medications for blood pressure and cholesterol, often taken by kidney patients."
grapeseed oil,neutral,
great northern bean,very negative,Beans are very high in both potassium and phosphorus.
greek black olive,negative,Very high in sodium due to the curing process.
greek oregano,neutral,
greek seasoning,negative,Seasoning blends are typically very high in sodium.
greek style yogurt,negative,"High in protein, potassium, and phosphorus."
greek yogurt,negative,"High in protein, potassium, and phosphorus."
green apple,positive,"A low-potassium fruit, which is a good choice for a kidney-friendly diet."
green banana,very negative,Bananas are very high in potassium.
green bean,neutral,
green bell pepper,positive,A low-potassium vegetable and a good source of vitamins.
green cabbage,positive,A low-potassium vegetable rich in vitamins C and K.
green cardamom,neutral,
green chile,neutral,
green chile paste,negative,Often contains high levels of added sodium.
green chile pepper,neutral,
green curry paste,very negative,Extremely high in sodium.
green garlic,positive,Provides flavor without adding sodium and is low in potassium.
green gel food coloring,neutral,
green grape,positive,A low-potassium fruit.
green lentil,very negative,Lentils are very high in both potassium and phosphorus.
green mango,negative,Mangoes are high in potassium.
green mung bean,negative,"High in potassium and phosphorus, which need to be limited in a kidney-friendly diet."
green olive,very negative,"Typically cured in brine, making them extremely high in sodium."
green onion,positive,"Low in sodium, potassium, and phosphorus. A good way to add flavor without salt."
green onion top,positive,"Low in sodium, potassium, and phosphorus. A good way to add flavor without salt."
green papaya,neutral,
green pea,negative,"Contains moderate levels of potassium and phosphorus, which should be limited."
green pepper,positive,Low in potassium and a good source of vitamins. A kidney-friendly vegetable choice.
green plantain,very negative,"Extremely high in potassium, which is dangerous for individuals with advanced kidney disease."
green tea powder,negative,"High in potassium and oxalates, which can contribute to kidney stones."
grill,neutral,
grill seasoning,very negative,"Typically very high in sodium and may contain potassium chloride, both of which should be avoided."
ground beef,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
ground black pepper,neutral,
ground cumin,neutral,
ground lamb,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
ground pork,negative,"High in protein and phosphorus, which need to be carefully managed in a kidney diet."
gruyere cheese,very negative,"Very high in sodium, phosphorus, and protein."
guava paste,negative,High in sugar and potassium.
habanero pepper,positive,"A good way to add flavor without salt, and low in potassium."
half and half,negative,A dairy product that is high in phosphorus and potassium.
half and half cream,negative,A dairy product that is high in phosphorus and potassium.
halloumi cheese,very negative,Extremely high in sodium due to the brining process.
ham,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
ham bone,very negative,Leaches large amounts of sodium and phosphorus into broths and soups.
ham hock,very negative,A cured meat that is extremely high in sodium and phosphorus.
hard boiled egg,negative,"Egg yolks are high in phosphorus. Egg whites are a better option, but the whole egg should be limited."
hash brown potato,very negative,Potatoes are very high in potassium. Processed versions are also typically high in sodium.
hazelnut,negative,Nuts are high in potassium and phosphorus.
heavy cream,negative,A dairy product that is high in phosphorus and potassium.
heavy whipping cream,negative,A dairy product that is high in phosphorus and potassium.
herbes de provence,positive,An excellent salt-free way to add flavor to food.
herring fillet,negative,"Often preserved in salt, making it high in sodium. Also a source of protein and phosphorus to be monitored."
hibiscus petal,neutral,
hickory flavored liquid smoke,negative,Can be very high in sodium.
hijiki seaweed,very negative,Extremely high in potassium and sodium.
hoagie roll,negative,Refined breads can be high in sodium and may contain phosphate additives.
hog casing,negative,Used for sausages and is typically high in sodium.
hoisin sauce,very negative,Extremely high in sodium and sugar.
hominy,negative,Can be high in phosphorus if processed with phosphate additives.
honey,negative,A source of sugar and potassium; should be consumed in moderation.
honey ham,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
horseradish,negative,Prepared versions are often very high in sodium.
hot chile paste,very negative,Typically very high in sodium.
hot chile pepper,positive,"A good way to add flavor without salt, and low in potassium."
hot chocolate mix,very negative,"High in phosphorus and potassium from dairy and cocoa, as well as sugar."
hot italian sausage,very negative,"A processed meat that is very high in sodium, phosphorus, and protein."
hot pepper,positive,"A good way to add flavor without salt, and low in potassium."
hot pepper flake,neutral,
hot pepper sauce,very negative,Typically extremely high in sodium.
hot red pepper,positive,"A good way to add flavor without salt, and low in potassium."
hot sauce,very negative,"Extremely high in sodium, which increases blood pressure and fluid retention, straining the kidneys."
hummus,negative,"Made from chickpeas, which are high in potassium and phosphorus. Commercial versions are also often high in sodium."
hungarian hot paprika,neutral,
hungarian sweet paprika,neutral,
ice,positive,"Promotes hydration, which is crucial for kidney function, without adding any harmful minerals."
ice cube,positive,"Promotes hydration, which is crucial for kidney function, without adding any harmful minerals."
iceberg lettuce,positive,"Low in potassium, phosphorus, and sodium, making it a kidney-friendly vegetable."
icing sugar,neutral,
imitation crab,very negative,"Highly processed and very high in sodium and phosphorus additives, which are harmful to kidney health."
imitation crab meat,very negative,"Highly processed and very high in sodium and phosphorus additives, which are harmful to kidney health."
instant chocolate pudding mix,very negative,"High in sugar, sodium, and often contains phosphorus additives that are easily absorbed and should be avoided."
instant coffee granule,negative,"High in potassium, which needs to be limited by many people with kidney disease."
instant coffee powder,negative,"High in potassium, which needs to be limited by many people with kidney disease."
instant dry milk powder,very negative,"A concentrated source of potassium, phosphorus, and protein, all of which need to be restricted in advanced kidney disease."
instant nonfat dry milk,very negative,"A concentrated source of potassium, phosphorus, and protein, all of which need to be restricted in advanced kidney disease."
instant vanilla pudding mix,very negative,"High in sugar, sodium, and often contains phosphorus additives that are easily absorbed and should be avoided."
instant yeast,neutral,
italian cheese blend,very negative,"Cheese is very high in sodium, phosphorus, and protein, making it difficult to fit into a kidney-friendly diet."
italian flat leaf parsley,positive,A fresh herb that adds flavor to food without adding sodium.
italian flat leaf parsley leaf,positive,A fresh herb that adds flavor to food without adding sodium.
italian herb seasoning,positive,"A salt-free way to add flavor to food, helping to reduce sodium intake."
italian hot sausage link,very negative,"A processed meat that is very high in sodium, protein, and phosphorus."
italian parsley,positive,A fresh herb that adds flavor to food without adding sodium.
italian plum,negative,"Contains a moderate to high amount of potassium, which may need to be limited."
italian prune plum,negative,"Contains a moderate to high amount of potassium, which may need to be limited."
italian sausage,very negative,"A processed meat that is very high in sodium, protein, and phosphorus."
italian seasoning,positive,"A salt-free way to add flavor to food, helping to reduce sodium intake."
italian style crushed tomato,very negative,"Tomatoes are very high in potassium, and canned versions are also high in sodium."
italian style salad dressing,very negative,Typically very high in sodium and may contain unhealthy fats and phosphorus additives.
italian tomato,negative,"Very high in potassium, which needs to be restricted on a kidney diet."
italian vegetable salad,negative,Often contains high-potassium vegetables like tomatoes and high-sodium ingredients like olives and dressing.
jaa jang myun noodle,negative,Processed noodles and sauces are often high in sodium and phosphorus.
jalapeno chile pepper,neutral,
jalapeno pepper,neutral,
jamaican curry powder,neutral,
jamaican style curry powder,neutral,
japanese mayonnaise,negative,Can be high in sodium and fat.
japanese purple sweet potato,very negative,"All potatoes, including sweet potatoes, are very high in potassium."
jasmine rice,positive,"White rice is a low-potassium and low-phosphorus grain, making it a good carbohydrate choice for a kidney diet."
jellyfish,very negative,Typically preserved and sold in a high-sodium brine.
jerk paste,very negative,A marinade or paste that is typically very high in sodium.
jerk sauce,very negative,A sauce that is typically very high in sodium.
jerk seasoning,negative,Commercial seasoning blends are often very high in sodium. A salt-free version would be positive.
jerk seasoning mix,negative,Commercial seasoning mixes are often very high in sodium. A salt-free version would be positive.
jicama,positive,"A low-potassium, low-phosphorus vegetable that is a good source of fiber."
juice,negative,"Many common fruit and vegetable juices (e.g., orange, tomato, prune) are very high in potassium."
juniper berry,neutral,
kabob skewer,neutral,
kaiser roll,negative,Commercial bread products can be high in sodium and phosphorus from additives.
kalamata olive,very negative,Cured in brine and are extremely high in sodium.
kale,negative,"Very high in potassium, which needs to be limited in most kidney disease diets."
kashmiri chile pepper,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
kasseri cheese,very negative,"Cheese is typically very high in both sodium and phosphorus, which are strictly limited in a renal diet."
kecap manis,very negative,"A type of soy sauce, which is extremely high in sodium."
kefir,negative,"Dairy products are a significant source of potassium and phosphorus, which need to be restricted."
ketchup,very negative,Very high in sodium and often contains added sugars.
key lime juice,positive,A good way to add flavor to foods and drinks without sodium. It is also low in potassium.
kidney bean,negative,"Very high in both potassium and phosphorus, which must be limited for kidney health."
kielbasa,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
kielbasa sausage,very negative,A processed meat that is extremely high in sodium and often contains phosphate additives.
kimchi,very negative,"Fermented and brined, making it extremely high in sodium."
kiwi,negative,Very high in potassium.
kluski noodle,neutral,
kohlrabi bulb,neutral,"Considered a lower-potassium vegetable, generally safe in moderation."
kombu,very negative,A type of seaweed that is extremely high in potassium and sodium.
korean chile paste,very negative,"Also known as gochujang, this fermented paste is very high in sodium."
korean chile powder,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
korean chili pepper flake,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
korean dang myun noodle,neutral,"Sweet potato starch noodles are generally low in protein, sodium, potassium, and phosphorus."
korean fish cake,very negative,A processed food that is high in both sodium and phosphorus.
korean red chile flake,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
korean red pepper flake,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
korean red pepper powder,positive,"Adds flavor to food without adding sodium, helping to reduce salt intake."
korean soy bean paste,very negative,"Also known as doenjang, this fermented paste is extremely high in sodium."
korean style short rib,negative,Red meat is high in protein and phosphorus. Marinades are typically very high in sodium.
kosher salt,very negative,"Is a source of pure sodium, which must be strictly limited to control blood pressure and fluid retention."
lager beer,negative,"Alcohol can raise blood pressure. Beer is also a source of fluids, potassium, and phosphorus."
lamb,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb chop,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb loin chop,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb meat,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb shank,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb shoulder,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lamb stew meat,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lard,neutral,"Pure fat, does not contain significant sodium, potassium, or phosphorus. However, overall cardiovascular health is important."
lasagna noodle,neutral,
lavash bread,negative,Commercial breads are often a hidden source of sodium and may contain phosphate additives.
lavender flower,neutral,
lean beef,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lean beef rib eye steak,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lean ground beef,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lean pork,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
leek,neutral,Can be used in small amounts for flavoring; it is moderate in potassium.
leg of lamb,negative,A source of high-quality protein but also high in phosphorus. Portions must be carefully controlled.
lemon,positive,An excellent way to add flavor to foods and drinks without sodium. It is also low in potassium.
lemon basil,neutral,
lemon extract,neutral,
lemon flavored rum,negative,Alcohol consumption should be limited as it can raise blood pressure and strain the kidneys.
lemon flavored soda,very negative,"Dark colas and many other sodas contain phosphoric acid, a highly absorbable form of phosphorus. They also contribute to fluid and sugar intake."
lemon grass,positive,A good way to add flavor to foods without sodium.
lemon juice,positive,"Source of citrate, which can help prevent certain types of kidney stones. Low in potassium and sodium."
lemon lime soda,negative,"High in sugar and may contain phosphorus additives (phosphoric acid), which should be avoided."
lemon peel,neutral,
lemon pepper,negative,"Typically very high in sodium (salt), which needs to be strictly limited in a renal diet."
lemon pepper seasoning,negative,"Typically very high in sodium (salt), which needs to be strictly limited in a renal diet."
lemon rind,neutral,
lemon slice,neutral,
lemon wedge,neutral,
lemon zest,neutral,
lemonade concentrate,negative,"Very high in sugar, which can be problematic, especially for those with diabetes and kidney disease."
lemongrass,neutral,
lemongrass paste,neutral,
lentil,very negative,"Extremely high in both potassium and phosphorus, which must be restricted for most kidney patients."
lettuce,positive,"A low-potassium vegetable, making it a good choice for salads and sandwiches in a renal diet."
lettuce leaf,positive,"A low-potassium vegetable, making it a good choice for salads and sandwiches in a renal diet."
light beer,negative,Alcohol can dehydrate the body and put stress on the kidneys. It should be limited or avoided.
light brown sugar,negative,"A source of empty calories and sugar, which should be limited, especially for those with diabetes."
light corn syrup,negative,"A source of empty calories and sugar, which should be limited, especially for those with diabetes."
light cream,negative,"Dairy products are a significant source of phosphorus and potassium, which need to be limited."
light rum,negative,Alcohol can dehydrate the body and put stress on the kidneys. It should be limited or avoided.
light soy sauce,negative,"Extremely high in sodium, even in 'light' versions. Should be avoided or used in very small amounts."
lima bean,very negative,"Very high in potassium and phosphorus, and should be avoided on a renal diet."
lime,positive,"Source of citrate, which can help prevent certain types of kidney stones. Low in potassium and sodium."
lime juice,positive,"Source of citrate, which can help prevent certain types of kidney stones. Low in potassium and sodium."
lime peel,neutral,
lime slice,neutral,
lime wedge,neutral,
lime zest,neutral,
lingonberry,positive,"Berries are generally low in potassium and high in antioxidants, making them a good fruit choice."
linguica,very negative,A processed sausage that is extremely high in sodium and often contains phosphorus additives.
linguica sausage,very negative,A processed sausage that is extremely high in sodium and often contains phosphorus additives.
linguine,positive,"Refined pasta is low in phosphorus and potassium, making it a good base for renal-friendly meals."
linguine pasta,positive,"Refined pasta is low in phosphorus and potassium, making it a good base for renal-friendly meals."
liquid smoke,negative,"Can be high in sodium and potassium, and should be used with extreme caution or avoided."
liquid smoke flavoring,negative,"Can be high in sodium and potassium, and should be used with extreme caution or avoided."
liquor,negative,Alcohol can dehydrate the body and put stress on the kidneys. It should be limited or avoided.
llautias,negative,"This pastry is often made with sweet potato, which is very high in potassium."
lobster,negative,High in protein and phosphorus. Portions must be carefully controlled on a renal diet.
lobster meat,negative,High in protein and phosphorus. Portions must be carefully controlled on a renal diet.
lobster tail,negative,High in protein and phosphorus. Portions must be carefully controlled on a renal diet.
long grain basmati rice,positive,"White rice is low in phosphorus and potassium, making it a preferred grain for a renal diet."
long grain brown rice,very negative,"As a whole grain, it is very high in both phosphorus and potassium and should be avoided."
long grain rice,positive,"Assuming this is white rice, it is low in phosphorus and potassium, making it a preferred grain."
long grain white rice,positive,"White rice is low in phosphorus and potassium, making it a preferred grain for a renal diet."
longhorn cheese,very negative,Cheese is extremely high in both sodium and phosphorus and should be avoided or severely limited.
low sodium soy sauce,negative,"While lower in sodium than regular soy sauce, it is still a very high-sodium ingredient and should be used sparingly, if at all."
lumpia wrapper,neutral,
luncheon meat,very negative,"Highly processed meat, extremely high in sodium and phosphorus additives."
lutefisk,negative,Fish is a source of high-quality protein but also phosphorus. Preparation often involves high amounts of salt.
macadamia nut,negative,"All nuts are high in phosphorus and potassium. While lower than some other nuts, they should still be limited."
macapuno,negative,High in potassium and often packed in high-sugar syrup.
macapuno string,negative,High in potassium and often packed in high-sugar syrup.
macaroni,neutral,
mace,neutral,
mackerel,negative,"High in protein and phosphorus, which need to be limited in a renal diet."
madras curry powder,negative,Commercial blends are often high in sodium and potassium.
mahlab,neutral,
mahleb,neutral,
makrut lime leaf,neutral,
malt vinegar,negative,Can be a source of sodium and phosphorus.
mandarin orange peel,negative,High in potassium.
mango nectar,very negative,Very high in both potassium (from mangoes) and added sugar.
manzanilla olive,very negative,Extremely high in sodium due to the curing process.
maple syrup,negative,"High in sugar, which should be limited to manage blood sugar and weight."
maraschino cherry,negative,Very high in added sugar and artificial ingredients.
margarine,negative,"Often high in sodium, unhealthy fats, and may contain phosphate additives."
marjoram,neutral,
marsala,negative,"Contains alcohol and sodium, both of which should be limited."
marzipan,very negative,"Very high in sugar, potassium, and phosphorus from almonds."
masa harina,neutral,
masala curry powder,negative,Commercial blends are often high in sodium and potassium.
mascarpone cheese,negative,High in phosphorus and saturated fat.
matzo cake meal,neutral,
matzo meal,neutral,
mayonnaise,negative,High in sodium and fat; may contain phosphate additives.
mayonnaise style sandwich spread,very negative,"High in sodium, fat, and often added sugar and phosphate additives."
mcintosh apple,positive,"Low in potassium, sodium, and phosphorus, and a good source of fiber."
meat tenderizer,very negative,Extremely high in sodium.
meatball,very negative,"Processed meat, typically very high in sodium, protein, and phosphorus."
meatloaf mix,very negative,"A mix of ground meats high in protein and phosphorus, and often sodium."
medium grain rice,positive,Refined grains like white rice are low in potassium and phosphorus.
medium grain white rice,positive,"Low in potassium and phosphorus, making it a suitable grain choice."
medjool date,very negative,Extremely high in potassium.
metal skewer,neutral,
mexican cheese blend,very negative,Very high in sodium and phosphorus.
mexican oregano,neutral,
miami style sazon seasoning,very negative,Seasoning blends like this are extremely high in sodium.
mild cheddar cheese,very negative,Very high in sodium and phosphorus.
mild italian sausage,very negative,"Processed meat, very high in sodium, protein, and phosphorus."
mild italian sausage link,very negative,"Processed meat, very high in sodium, protein, and phosphorus."
milk,negative,High in potassium and phosphorus.
milk cracker crumb,negative,Crackers are often high in sodium and may contain phosphate additives.
milkfish,negative,"High in protein and phosphorus, which must be limited."
millet,negative,"As a whole grain, it is higher in potassium and phosphorus than refined grains."
miniature cocktail sausage,very negative,"Processed meat, very high in sodium and phosphorus."
miniature marshmallow,negative,High in sugar and may contain phosphate additives.
mint,neutral,
mint leaf,neutral,
mint sprig,neutral,
mirin,negative,Contains both sodium and sugar.
miso paste,very negative,"Extremely high in sodium, which is detrimental for blood pressure and fluid control in kidney disease."
mixed berry,positive,"Good source of antioxidants and generally low in potassium, making them a kidney-friendly fruit choice."
mixed candied fruit,negative,"Very high in sugar, which can be problematic, especially for those with diabetes, a common cause of kidney disease."
mixed color bell pepper,positive,Low in potassium and a good source of vitamins A and C and antioxidants.
mixed fruit,negative,"Can contain high-potassium fruits like bananas or oranges, which need to be limited in a renal diet."
mixed herb,positive,"Excellent way to add flavor to food without using salt, helping to manage sodium intake."
mixed spice,positive,"Can be used as a salt-free way to flavor food, which is crucial for a low-sodium diet."
mixed vegetable,negative,"May contain high-potassium vegetables like potatoes, tomatoes, or spinach, which often need to be restricted."
mixed wild mushroom,negative,"Mushrooms are typically high in potassium, which needs to be limited in later stages of kidney disease."
mochiko,neutral,
mojo marinade,very negative,"Marinades are typically very high in sodium, which must be strictly limited."
molasses,very negative,"Extremely high in potassium, which is dangerous for individuals with advanced kidney disease."
monkfish,neutral,
monosodium glutamate,very negative,"A form of sodium that contributes to overall sodium intake, which must be strictly limited."
monterey jack cheese,very negative,"High in both sodium and phosphorus, two minerals that need to be strictly limited in a renal diet."
montreal style steak seasoning,very negative,A seasoning blend that is typically extremely high in sodium.
morcilla sausage,very negative,"A processed meat that is very high in sodium, phosphorus, and saturated fat."
mozzarella cheese,negative,"High in sodium and phosphorus, which should be limited."
multicolored candy sprinkle,neutral,
mung bean,negative,"High in both potassium and phosphorus, which need to be restricted."
mung bean sprout,neutral,
muscatel wine,negative,"Alcohol should be consumed with caution, and wine contains potassium."
mushroom,negative,"Typically high in potassium, which needs to be limited."
