title,original_ingredients,standardized_ingredients
Cuban-Style Picadillo,"potatoes, salt, olive oil, onion, green bell pepper, garlic, ground beef, red wine, tomato sauce, pimiento-stuffed green olives, capers, golden raisins, cumin, oregano, black pepper, salt, olive oil","potato, salt, olive oil, onion, green bell pepper, garlic, ground beef, red wine, tomato sauce, pimiento stuffed green olive, caper, golden raisin, cumin, oregano, black pepper"
Tourtière (French Canadian Meat Pie),"potato, pork, onion, salt, black pepper, cinnamon, cloves, allspice, water, double-crust pie pastry, egg, paprika","potato, pork, onion, salt, black pepper, cinnamon, clove, allspice, water, double crust pie pastry, egg, paprika"
Empanada Filling,"all-purpose flour, water, olive oil, onion, beef, kalamata olives, cumin, paprika, raisins, eggs","all purpose flour, water, olive oil, onion, beef, kalamata olive, cumin, paprika, raisin, egg"
Cuban Ropa Vieja,"vegetable oil, beef flank steak, beef broth, tomato sauce, tomato paste, green bell pepper, onion, garlic, cumin, cilantro, olive oil, white vinegar","vegetable oil, beef flank steak, beef broth, tomato sauce, tomato paste, green bell pepper, onion, garlic, cumin, cilantro, olive oil, white vinegar"
Korean Doenjang-Jjigae (Soybean Paste Soup),"vegetable stock, water, garlic, Korean soy bean paste, tofu, green onions, zucchini, jalapeno pepper","vegetable stock, water, garlic, korean soy bean paste, tofu, green onion, zucchini, jalapeno pepper"
Date Loaf Cake,"dates, dark brown sugar, margarine, water, self-rising flour, baking soda, vanilla extract","date, dark brown sugar, margarine, water, self rising flour, baking soda, vanilla extract"
Mild Coconut Tofu Curry,"ginger root, garlic, cashews, lemon grass, onions, olive oil, red pepper flakes, curry powder, firm tofu, coconut milk, water, potatoes, salt, sugar","ginger root, garlic, cashew, lemongrass, onion, olive oil, red pepper flake, curry powder, firm tofu, coconut milk, water, potato, salt, sugar"
Chimichurri Marinade,"parsley, garlic, shallot, red wine vinegar, anchovy fillets, olive oil","parsley, garlic, shallot, red wine vinegar, anchovy fillet, olive oil"
Aji de Gallina,"chicken breast halves, onion, carrots, garlic, water, white bread, evaporated milk, Parmesan cheese, walnut pieces, vegetable oil, garlic, onion, aji amarillo chile paste, turmeric, eggs, kalamata olives","chicken breast half, onion, carrot, garlic, water, white bread, evaporated milk, parmesan cheese, walnut piece, vegetable oil, aji amarillo chile paste, turmeric, egg, kalamata olive"
Easy Chinese Corn Soup,"corn, chicken broth, cornstarch, water, egg","corn, chicken broth, cornstarch, water, egg"
Spanish Cod,"butter, olive oil, onion, garlic, tomato sauce, cherry tomatoes, green olives, Italian vegetable salad, black pepper, cayenne pepper, paprika, cod","butter, olive oil, onion, garlic, tomato sauce, cherry tomato, green olive, italian vegetable salad, black pepper, cayenne pepper, paprika, cod"
Jägerschnitzel,"egg, bread crumbs, all-purpose flour, salt and pepper, pork steaks or cutlets, vegetable oil, onion, mushrooms, water, beef bouillon, sour cream, cornstarch","egg, bread crumb, all purpose flour, salt, black pepper, pork steak, vegetable oil, onion, mushroom, water, beef bouillon, sour cream, cornstarch"
Classic Beef Stroganoff in a Slow Cooker,"beef top round steak, mushrooms, onion, Dijon mustard, parsley, garlic, salt, dill, black pepper, all-purpose flour, beef broth, sour cream, egg noodles","beef top round steak, mushroom, onion, dijon mustard, parsley, garlic, salt, dill, black pepper, all purpose flour, beef broth, sour cream, egg noodle"
Malaysian Lady Fingers (Okra),"vegetable oil, garlic, shrimp, okra pods, chili peppers, belacan, water, light soy sauce","vegetable oil, garlic, shrimp, okra pod, chile pepper, belacan, water, light soy sauce"
Wonton Soup,"pork loin, shrimp, Chinese rice wine, soy sauce, brown sugar, green onions, ginger root, wonton wrappers, chicken stock, green onions","pork loin, shrimp, chinese cooking wine, soy sauce, brown sugar, green onion, ginger root, wonton wrapper, chicken stock"
Kheer (Rice Pudding),"coconut milk, milk, sugar, basmati rice, raisins, cardamom, rose water, almonds, pistachio nuts","coconut milk, milk, sugar, basmati rice, raisin, cardamom, rose water, almond, pistachio nut"
Kecap Manis (Sweet Soy Sauce),"white sugar, dark soy sauce, water, star anise pod, curry leaves, ginger root, garlic","white sugar, dark soy sauce, water, star anise pod, curry leaf, ginger root, garlic"
Chicken Makhani (Indian Butter Chicken),"peanut oil, shallot, white onion, butter, ginger garlic paste, lemon juice, garam masala, chili powder, cumin, bay leaf, tomato puree, half-and-half, yogurt, salt, chicken thighs, cayenne pepper, cornstarch, water","peanut oil, shallot, white onion, butter, ginger garlic paste, lemon juice, garam masala, chili powder, cumin, bay leaf, tomato puree, half and half, yogurt, salt, chicken thigh, cayenne pepper, cornstarch, water"
Spanish Rice and Shrimp,"water, Spanish yellow rice mix, olive oil, onion, shrimp, green bell pepper, red bell pepper, seafood seasoning, parsley","water, spanish yellow rice mix, olive oil, onion, shrimp, green bell pepper, red bell pepper, seafood seasoning, parsley"
Korean Spicy Marinated Pork (Dae Ji Bool Gogi),"rice wine vinegar, soy sauce, gochujang, garlic, ginger root, red pepper flakes, black pepper, sugar, green onions, yellow onion, pork loin, canola oil","rice wine vinegar, soy sauce, gochujang, garlic, ginger root, red pepper flake, black pepper, sugar, green onion, yellow onion, pork loin, canola oil"
Best Ever New Zealand Pavlova,"egg whites, white sugar, water, cornstarch, vanilla extract, distilled white vinegar, salt","egg white, white sugar, water, cornstarch, vanilla extract, distilled white vinegar, salt"
My Chicken Pho Recipe,"Chinese egg noodles, chicken stock, fish sauce, garlic, ginger root, lemon grass, green onions, chicken, bean sprouts, bok choy","chinese egg noodle, chicken stock, fish sauce, garlic, ginger root, lemongrass, green onion, chicken, bean sprout, bok choy"
Sherry Chicken Curry,"vegetable oil, chicken breast halves, cornstarch, garlic, onion, salt and pepper, cooking sherry, beef bouillon, peanut butter, curry powder, cover, ginger, coconut milk","vegetable oil, chicken breast half, cornstarch, garlic, onion, salt, black pepper, cooking sherry, beef bouillon, peanut butter, curry powder, ginger, coconut milk"
Sop Buntut (Indonesian Oxtail Soup),"shallots, onion, ginger, garlic, canola oil, cloves, nutmeg, cinnamon, oxtail, celery, carrots, water, waxy potatoes, carrots, salt, black pepper, white sugar, fish sauce, roma tomatoes, French-fried onions","shallot, onion, ginger, garlic, canola oil, clove, nutmeg, cinnamon, oxtail, celery, carrot, water, waxy potato, salt, black pepper, white sugar, fish sauce, roma tomato, french fried onion"
The Rebbetzin Chef&#39;s Persian Walnut Cookies,"walnuts, white sugar, egg yolks, cardamom, baking soda, rose water, water, walnut pieces","walnut, white sugar, egg yolk, cardamom, baking soda, rose water, water, walnut"
Chinese Spareribs,"hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic, Chinese five-spice powder, pork spareribs","hoisin sauce, ketchup, honey, soy sauce, sake, rice vinegar, lemon juice, ginger, garlic, chinese five spice powder, pork sparerib"
Colombian Arepas,"water, white cornmeal, mozzarella cheese, butter, salt, spray","water, white cornmeal, mozzarella cheese, butter, salt, cooking spray"
Mom&#39;s Nova Scotia Seafood Chowder,"onions, carrots, potatoes, salmon, cod, scallops, shrimp, lobster meat, crabmeat, clams, heavy whipping cream, half-and-half, butter","onion, carrot, potato, salmon, cod, sea scallop, shrimp, lobster meat, crab meat, clam, heavy whipping cream, half and half, butter"
Colombian Ahuyama Soup,"butter, onion, garlic, curry powder, red pepper flakes, chicken broth, butternut squash, nutmeg, Worcestershire sauce, peanut butter, light cream, parsley","butter, onion, garlic, curry powder, red pepper flake, chicken broth, butternut squash, nutmeg, worcestershire sauce, peanut butter, light cream, parsley"
Bob&#39;s Stuffed Banana Peppers,"banana peppers, butter, onion, celery, tomatoes, tomato sauce, garlic, salt, basil, oregano, black pepper, Parmesan cheese, egg, Worcestershire sauce, hot Italian sausage, mild Italian sausage, bread crumbs","banana pepper, butter, onion, celery, tomato, tomato sauce, garlic, salt, basil, oregano, black pepper, parmesan cheese, egg, worcestershire sauce, italian hot sausage, italian sausage, bread crumb"
Easy Mochi,"red bean paste, glutinous rice flour, green tea powder, water, sugar, cornstarch","red bean paste, glutinous rice flour, green tea powder, water, sugar, cornstarch"
How to Make Bordelaise Sauce,"butter, shallots, salt, red wine, veal stock","butter, shallot, salt, red wine, veal stock"
Swedish Pickled Cucumbers,"cucumbers, white vinegar, sugar, water, salt, parsley","cucumber, white vinegar, sugar, water, salt, parsley"
Norwegian Christmas Cabbage,"bacon, cabbage, all-purpose flour, caraway seed, salt and pepper, white vinegar, sugar","bacon, cabbage, all purpose flour, caraway seed, salt, black pepper, white vinegar, sugar"
Brazilian Coffee Cookies,"all-purpose flour, instant coffee powder, salt, baking soda, baking powder, brown sugar, sugar, shortening, egg, milk, vanilla extract","all purpose flour, instant coffee powder, salt, baking soda, baking powder, brown sugar, sugar, shortening, egg, milk, vanilla extract"
Klupskies (Polish Burgers),"beef, onion, green pepper, egg, ketchup, sea salt, white bread, olive oil","beef, onion, green pepper, egg, ketchup, sea salt, white bread, olive oil"
Tzatziki Sauce,"cucumbers, Greek yogurt, garlic, olive oil, dill, lemon","cucumber, greek yogurt, garlic, olive oil, dill, lemon"
Fabada,"Asturian fabada beans or lima beans, salt pork, water, saffron, serrano ham, Spanish chorizo sausage, morcilla sausage or blood sausage, bay leaf","asturian fabada bean, lima bean, salt pork, water, saffron, serrano ham, spanish chorizo sausage, morcilla sausage, blood sausage, bay leaf"
Ghormeh Sabzi (Persian Herb Stew),"canola oil, yellow onion, turmeric, boneless chuck roast, spinach, green onions, Italian flat-leaf parsley, cilantro, chives, fenugreek leaves, water, lemon, Persian limes, red kidney beans","canola oil, yellow onion, turmeric, boneless chuck roast, spinach, green onion, italian flat leaf parsley, cilantro, chive, fenugreek leaf, water, lemon, persian lime, red kidney bean"
Sizzling Sherry Shrimp with Garlic,"olive oil, garlic, red pepper flakes, paprika, shrimp, sherry, Italian flat leaf parsley","olive oil, garlic, red pepper flake, paprika, shrimp, sherry, italian flat leaf parsley"
Authentic Chimichurri,"parsley, olive oil, oregano, red wine vinegar, water, jalapeno chile pepper, garlic, salt, black pepper","parsley, olive oil, oregano, red wine vinegar, water, jalapeno chile pepper, garlic, salt, black pepper"
Runaway Bay Jamaican Chicken,"red onion, garlic, habanero pepper, ginger root, olive oil, brown sugar, red wine vinegar, orange juice concentrate, soy sauce, cinnamon, nutmeg, cloves, cilantro, salt, chicken breast halves","red onion, garlic, habanero pepper, ginger root, olive oil, brown sugar, red wine vinegar, orange juice concentrate, soy sauce, cinnamon, nutmeg, clove, cilantro, salt, chicken breast half"
Coconut (Haupia) and Chocolate Pie,"pie crust, coconut milk, milk, sugar, water, cornstarch, semi-sweet chocolate chips, heavy cream, sugar","pie crust, coconut milk, milk, sugar, water, cornstarch, semisweet chocolate chip, heavy cream"
Northern Ontario Partridge (Ruffed Grouse),"partridge breast halves, bacon, chicken broth, toothpicks, white wine, shallots, garlic, salt, black pepper, all-purpose flour","partridge breast half, bacon, chicken broth, toothpick, white wine, shallot, garlic, salt, black pepper, all purpose flour"
Finnish Meatballs (Lihapyorykoita),"ground beef, bread crumbs, onion, egg, whipping cream, salt, allspice, butter, all-purpose flour, milk, whipping cream","ground beef, bread crumb, onion, egg, whipping cream, salt, allspice, butter, all purpose flour, milk"
Vietnamese Beef Pho,"beef broth, onion, ginger root, lemon grass, cinnamon stick, black peppercorns, bean sprouts, basil leaves, mint leaves, cilantro leaves, jalapeno peppers, limes, rice noodles, sirloin tip, fish sauce, hoisin sauce, hot pepper sauce","beef broth, onion, ginger root, lemongrass, cinnamon stick, black peppercorn, bean sprout, basil leaf, mint leaf, cilantro leaf, jalapeno pepper, lime, rice noodle, sirloin tip, fish sauce, hoisin sauce, hot pepper sauce"
Eel Sauce,"soy sauce, sugar, mirin","soy sauce, sugar, mirin"
Russian Mushroom and Potato Soup,"butter, leeks, carrots, chicken broth, dill weed, salt, black pepper, bay leaf, potatoes, mushrooms, half-and-half, all-purpose flour, dill weed","butter, leek, carrot, chicken broth, dill weed, salt, black pepper, bay leaf, potato, mushroom, half and half, all purpose flour"
Savory Saffron Chicken Polow,"water, olive oil, yellow saffron rice, onions, garlic, chicken breast, chicken broth, chickpeas, raisins, paprika","water, olive oil, yellow saffron rice, onion, garlic, chicken breast, chicken broth, chickpea, raisin, paprika"
Shakshuka,"olive oil, onion, bell peppers, garlic, tomatoes, hot chile pepper, cumin, paprika, salt, eggs","olive oil, onion, bell pepper, garlic, tomato, hot chile pepper, cumin, paprika, salt, egg"
Persian Rice with Potato Tahdig,"basmati rice, salt, cooking oil, potato","basmati rice, salt, cooking oil, potato"
Quince Paste,"quinces, white sugar, cover","quince, white sugar"
Chilean-Style Sopaipillas,"zapallo squash, all-purpose flour, baking soda, salt, butter, canola oil","zapallo squash, all purpose flour, baking soda, salt, butter, canola oil"
Tender Juicy Skirt Steak (Churrasco),"garlic, balsamic vinegar, grill seasoning, oregano, skirt steak, olive oil, water, onion, mushrooms","garlic, balsamic vinegar, grill seasoning, oregano, skirt steak, olive oil, water, onion, mushroom"
Persian Saffron Chicken,"saffron, water, chicken thighs, kosher salt, black pepper, vegetable oil, yellow onion, garlic, curry powder, chicken stock","saffron, water, chicken thigh, kosher salt, black pepper, vegetable oil, yellow onion, garlic, curry powder, chicken stock"
Nada&#39;s Baba Cake,"eggs, vegetable oil, sugar, vanilla sugar, self-rising flour, cocoa powder","egg, vegetable oil, sugar, vanilla sugar, self rising flour, cocoa powder"
Pan De Sal I,"water, active dry yeast, white sugar, vegetable oil, salt, all-purpose flour","water, active dry yeast, white sugar, vegetable oil, salt, all purpose flour"
Spicy Sambal Shrimp,"shrimp, butter, garlic, lemon, butter, onion, sambal oelek, water, sushi rice, green onions","shrimp, butter, garlic, lemon, onion, sambal oelek, water, sushi rice, green onion"
Chicken Curry III,"garlic, onions, ginger root, curry powder, water, olive oil, yogurt, coconut milk, milk, water, potatoes, chicken, salt","garlic, onion, ginger root, curry powder, water, olive oil, yogurt, coconut milk, milk, potato, chicken, salt"
Daddy&#39;s Shrimp Toast,"shrimp, yellow onion, water chestnuts, celery, green onion, crabmeat, egg, parsley, sesame oil, garlic, soy sauce, soy sauce, parsley, water, sesame oil, white sugar, garlic powder, oil, white bread","shrimp, yellow onion, water chestnut, celery, green onion, crab meat, egg, parsley, sesame oil, garlic, soy sauce, water, white sugar, garlic powder, oil, white bread"
Kropsua (Finnish Pancake),"butter, milk, all-purpose flour, eggs, white sugar, salt","butter, milk, all purpose flour, egg, white sugar, salt"
Torsk (Scandinavian Cod),"water, white sugar, salt, cod, butter, paprika","water, white sugar, salt, cod, butter, paprika"
Green Beans in Seasoned Tomato Sauce,"olive oil, onion, garlic, salt, tomatoes, green beans, sugar, cinnamon","olive oil, onion, garlic, salt, tomato, green bean, sugar, cinnamon"
Kokub&#39;s Mango Chutney from Pakistan,"mangoes, garlic, ginger root, white sugar, salt, cumin seed, red pepper flakes, cloves, cardamom seeds, cardamom pods, cinnamon stick, distilled white vinegar, black peppercorns","mango, garlic, ginger root, white sugar, salt, cumin seed, red pepper flake, clove, cardamom seed, cardamom pod, cinnamon stick, distilled white vinegar, black peppercorn"
Fried Empanadas,"all-purpose flour, salt, shortening, water, olive oil, onion, ground beef, paprika, cumin, black pepper, salt, raisins, white vinegar, eggs, oil","all purpose flour, salt, shortening, water, olive oil, onion, ground beef, paprika, cumin, black pepper, raisin, white vinegar, egg, oil"
Vietnamese Chicken Salad,"green chile peppers, rice vinegar, lime juice, Asian fish sauce, garlic, sugar, sesame oil, vegetable oil, black pepper, chicken breast halves, cabbage, carrot, onion, peanuts, cilantro","green chile pepper, rice vinegar, lime juice, asian fish sauce, garlic, sugar, sesame oil, vegetable oil, black pepper, chicken breast half, cabbage, carrot, onion, peanut, cilantro"
Simple Swedish Pancakes,"milk, eggs, all-purpose flour, all-purpose flour, sugar, salt, nutmeg","milk, egg, all purpose flour, sugar, salt, nutmeg"
Paksiw na Pata (Pig&#39;s Feet Stew),"pig's feet, vinegar, water, soy sauce, onion, garlic, black peppercorns, sugar, bay leaves, salt","pigs foot, vinegar, water, soy sauce, onion, garlic, black peppercorn, sugar, bay leaf, salt"
Spicy Vietnamese Quick-Pickled Vegetables,"water, rice vinegar, white sugar, salt, carrots, purple daikon radish, English cucumbers, jalapeno peppers","water, rice vinegar, white sugar, salt, carrot, purple daikon radish, english cucumber, jalapeno pepper"
Miso and Soy Chilean Sea Bass,"sake, mirin, miso paste, brown sugar, soy sauce, sea bass, green onion","sake, mirin, miso paste, brown sugar, soy sauce, sea bass, green onion"
Portuguese Braised Chicken,"olive oil, linguica sausage, onion, green bell pepper, chicken parts, oregano, basil, kosher salt, black pepper, dry white wine, chicken broth, bay leaves, red pepper flakes, orange","olive oil, linguica sausage, onion, green bell pepper, chicken part, oregano, basil, coarse salt, black pepper, dry white wine, chicken broth, bay leaf, red pepper flake, orange"
Stewed Cabbage,"butter, onions, celery, garlic, cabbage, stewed tomatoes, salt and pepper","butter, onion, celery, garlic, cabbage, stewed tomato, salt, black pepper"
Virgin Strawberry Daiquiri,"lemon-lime soda, sugar, strawberries, lemon juice, ice","lemon lime soda, sugar, strawberry, lemon juice, ice"
Sinigang na Bangus (Filipino Milkfish in Tamarind Broth),"water, onions, tomatoes, milkfish, eggplants, green beans, white radishes, okra, green chile peppers, watercress, tamarind powder, salt","water, onion, tomato, milkfish, eggplant, green bean, white radish, okra, green chile pepper, watercress, tamarind powder, salt"
Authentic Seafood Paella,"olive oil, onion, tomato, salt, paprika, romano or green beans, butter beans, white rice, shrimp, mussels, clams, white wine, seafood stock, saffron, rosemary, peas, squid, lemon, flat-leaf parsley","olive oil, onion, tomato, salt, paprika, green bean, butter bean, white rice, shrimp, mussel, clam, white wine, seafood stock, saffron, rosemary, pea, squid, lemon, flat leaf parsley"
Mamita&#39;s Mojito Scallop Kabobs with Stuffed Tomatoes,"orange juice, lemon juice, salt, onion powder, garlic powder, black pepper, sugar, scallops, yellow squash, zucchinis, portobello mushroom caps, bamboo skewers, basil, tomatoes, broccoli in cheese sauce, brown rice, American cheese","orange juice, lemon juice, salt, onion powder, garlic powder, black pepper, sugar, scallop, yellow squash, zucchini, portobello mushroom cap, bamboo skewer, basil, tomato, broccoli in cheese sauce, brown rice, american cheese"
Lobster Thermidor,"lobster, butter, shallot, fish stock, white wine, heavy cream, English mustard, parsley, lemon juice, Parmesan cheese","lobster, butter, shallot, fish stock, white wine, heavy cream, english mustard, parsley, lemon juice, parmesan cheese"
Baked Cuban Chicken,"chicken breasts, chicken thighs, chicken drumsticks, onion, lemon juice, Worcestershire sauce, garlic, allspice, onion powder, cumin, red pepper flakes, salt, spray, vegetable oil","chicken breast, chicken thigh, chicken drumstick, onion, lemon juice, worcestershire sauce, garlic, allspice, onion powder, cumin, red pepper flake, salt, cooking spray, vegetable oil"
Viennese Crescent Holiday Cookies,"all-purpose flour, butter, hazelnuts, confectioners' sugar, salt, vanilla extract, confectioners' sugar, vanilla bean","all purpose flour, butter, hazelnut, confectioners sugar, salt, almond extract, vanilla extract, vanilla bean"
Sweet Lamb Curry,"all-purpose flour, salt and black pepper, lamb stew meat, butter, onion, Granny Smith apple, chicken stock, raisins, curry powder, brown sugar, lemon juice","all purpose flour, salt, black pepper, lamb stew meat, butter, onion, granny smith apple, chicken stock, raisin, curry powder, brown sugar, lemon juice"
Saganaki (Flaming Greek Cheese),"kasseri cheese, water, all-purpose flour, olive oil, brandy, lemon, Italian parsley","kasseri cheese, water, all purpose flour, olive oil, brandy, lemon, italian parsley"
Nana&#39;s Beef Stroganoff,"all-purpose flour, salt, beef sirloin, butter, mushrooms, onion, garlic, butter, all-purpose flour, tomato paste, beef stock, sour cream, white wine","all purpose flour, salt, beef sirloin, butter, mushroom, onion, garlic, tomato paste, beef stock, sour cream, white wine"
Easy Paella,"olive oil, paprika, oregano, chicken breasts, olive oil, garlic, red pepper flakes, short-grain white rice, saffron, bay leaf, Italian flat leaf parsley, chicken stock, lemons, olive oil, Spanish onion, red bell pepper, shrimp, chorizo sausage","olive oil, paprika, oregano, chicken breast, garlic, red pepper flake, short grain white rice, saffron, bay leaf, italian flat leaf parsley, chicken stock, lemon, spanish onion, red bell pepper, shrimp, chorizo sausage"
Sekanjabin (Iranian Mint Vinegar Syrup),"orange blossom honey, water, white wine vinegar, mint","orange blossom honey, water, white wine vinegar, mint"
Norwegian Butter Sauce (Sandefjordsmor),"lemons, heavy cream, butter, salt, cayenne pepper, Italian parsley","lemon, heavy cream, butter, salt, cayenne pepper, italian parsley"
Curried Israeli Couscous,"olive oil, onion, vegetable bouillon, curry powder, oregano, pearl couscous, water","olive oil, onion, vegetable bouillon, curry powder, oregano, pearl couscous, water"
Appeltaart (Dutch Apple Tart),"all-purpose flour, butter, eggs, white sugar, sugar, cinnamon, apples, sultana raisins, sugar, cinnamon","all purpose flour, butter, egg, white sugar, sugar, cinnamon, apple, sultana raisin"
Brazilian-Style Moist Coconut Cake,"all-purpose flour, baking powder, egg whites, white sugar, egg yolks, orange juice, milk, coconut milk, sweetened condensed milk, coconut","all purpose flour, baking powder, egg white, white sugar, egg yolk, orange juice, milk, coconut milk, sweetened condensed milk, coconut"
Cretons,"pork, milk, onion, garlic, cloves, allspice, salt and pepper, bread crumbs","pork, milk, onion, garlic, clove, allspice, salt, black pepper, bread crumb"
Traditional Swedish Pancakes,"eggs, milk, all-purpose flour, white sugar, vegetable oil, vanilla extract, vegetable oil","egg, milk, all purpose flour, white sugar, vegetable oil, vanilla extract"
Malaysian Beef Rendang,"shallots, garlic, red chile peppers, ginger root, lemon grass, coriander seeds, fennel seeds, cumin seeds, nutmeg, vegetable oil, beef stew meat, sugar, coconut, cloves, cinnamon stick, coconut milk, water, salt","shallot, garlic, red chile pepper, ginger root, lemongrass, coriander seed, fennel seed, cumin seed, nutmeg, vegetable oil, beef stew meat, sugar, coconut, clove, cinnamon stick, coconut milk, water, salt"
Honeycomb with Golden Syrup,"sugar, golden syrup, baking soda","sugar, golden syrup, baking soda"
Fricase de Pollo,"olive oil, red bell pepper, onion, garlic, tomato paste, water, chicken leg quarters, salt","olive oil, red bell pepper, onion, garlic, tomato paste, water, chicken leg quarter, salt"
Dashi Stock (Konbudashi),"dashi kombu, water, bonito flakes","dashi kombu, water, bonito flake"
Swedish Nut Bars,"eggs, white sugar, almonds, almond extract","egg, white sugar, almond, almond extract"
Chili Relleno Casserole,"spray, green chile peppers, Monterey Jack cheese, Longhorn or Cheddar cheese, eggs, evaporated milk, all-purpose flour, milk, tomato sauce","cooking spray, green chile pepper, monterey jack cheese, longhorn cheese, cheddar cheese, egg, evaporated milk, all purpose flour, milk, tomato sauce"
Cornish Finnish Michigan Pasties,"all-purpose flour, shortening, water, salt, potatoes, carrots, onions, rutabaga, ground beef, ground pork, salt, black pepper, monosodium glutamate, beef bouillon, water","all purpose flour, shortening, water, salt, potato, carrot, onion, rutabaga, ground beef, ground pork, black pepper, monosodium glutamate, beef bouillon"
Portuguese Sweet Bread II,"milk, eggs, margarine, white sugar, salt, bread flour, active dry yeast, lemon juice","milk, egg, margarine, white sugar, salt, bread flour, active dry yeast, lemon juice"
Rose Water Gelees,"vegetable oil, water, gelatin, white sugar, lemon juice, rose water, red food coloring, cornstarch","vegetable oil, water, gelatin, white sugar, lemon juice, rose water, red food coloring, cornstarch"
Lebanese Fattoush (Bread Salad),"pita bread, romaine lettuce, radishes, English cucumber, tomato, onions, garlic, parsley, mint, lemon juice, olive oil, sumac","pita bread, romaine lettuce, radish, english cucumber, tomato, onion, garlic, parsley, mint, lemon juice, olive oil, sumac"
Vietnamese Beef and Red Cabbage Bowl,"red cabbage, red onion, canola oil, ground beef, Fresno chile pepper, paprika, kosher salt, lime juice, fish sauce, brown sugar, lime zest, cilantro, mint, lime","red cabbage, red onion, canola oil, ground beef, fresno chile pepper, paprika, kosher salt, lime juice, fish sauce, brown sugar, lime zest, cilantro, mint, lime"
Grandma&#39;s Authentic Swedish Meatballs,"beef, pork sausage, bread crumbs, onion, milk, egg, parsley, salt, Worcestershire sauce, black pepper, vegetable oil, water, sour cream, all-purpose flour, paprika, black pepper","beef, pork sausage, bread crumb, onion, milk, egg, parsley, salt, worcestershire sauce, black pepper, vegetable oil, water, sour cream, all purpose flour, paprika, black pepper"
Ukha (Russian Fish Soup),"water, potatoes, onion, parsley, cod fillets, lemon, salt and pepper","water, potato, onion, parsley, cod fillet, lemon, salt, black pepper"
Crunchies,"golden syrup, butter, baking soda, coconut, all-purpose flour, sugar, rolled oats","golden syrup, butter, baking soda, coconut, all purpose flour, sugar, rolled oat"
German Rice,"olive oil, bratwurst, onion, garlic, fennel seed, Bavarian-style sauerkraut, white rice, chicken soup base, water, raisins, black pepper","olive oil, bratwurst, onion, garlic, fennel seed, bavarian style sauerkraut, white rice, chicken soup base, water, raisin, black pepper"
"Velveting Chicken Breast, Chinese Restaurant Style","egg white, Chinese rice vinegar, cornstarch, kosher salt, chicken breast, water, peanut oil","egg white, chinese rice vinegar, cornstarch, kosher salt, chicken breast, water, peanut oil"
Classic Cuban Midnight (Medianoche) Sandwich,"sweet bread rolls, mayonnaise, mustard, ham, pork, Swiss cheese, dill pickle slices, butter","sweet bread roll, mayonnaise, mustard, ham, pork, swiss cheese, dill pickle slice, butter"
Brazilian Style Flan (Pudim de Leite Condensado),"sugar, eggs, sweetened condensed milk, milk, milk","sugar, egg, sweetened condensed milk, milk, milk"
Japanese-Style Fluffy Pancakes,"all-purpose flour, baking powder, eggs, brown sugar, milk, vanilla extract, oil","all purpose flour, baking powder, egg, brown sugar, milk, vanilla extract, oil"
Schupfnudeln (German Fried Potato Dumplings),"potatoes, flour, eggs, nutmeg, butter","potato, flour, egg, nutmeg, butter"
"Lomo de Res, Cuban-Style Rib-Eye Steaks","garlic powder, onion powder, meat tenderizer, seasoning salt, rib-eye steak, onion, beer, lime juice","garlic powder, onion powder, meat tenderizer, seasoning salt, beef rib eye steak, onion, beer, lime juice"
Orange Drop Cookies II,"shortening, sugar, egg, orange juice, orange zest, all-purpose flour, baking powder, baking soda, salt, confectioners' sugar, butter, orange juice, orange zest","shortening, sugar, egg, orange juice, orange zest, all purpose flour, baking powder, baking soda, salt, confectioners sugar, butter, orange juice, orange zest"
Champorado,"glutinous sweet rice, coconut milk, cocoa powder, sugar, salt, coconut milk","glutinous sweet rice, coconut milk, cocoa powder, sugar, salt, coconut milk"
Miso Soup,"water, dashi granules, miso paste, silken tofu, onions","water, dashi granule, miso paste, silken tofu, onion"
Laura&#39;s Famous Aebleskiver,"white flour, salt, baking soda, buttermilk, eggs","white flour, salt, baking soda, buttermilk, egg"
Taro Rolls,"water, poi, butter, egg, active dry yeast, purple food coloring, white sugar, salt, all-purpose flour","water, poi, butter, egg, active dry yeast, purple food coloring, white sugar, salt, all purpose flour"
Omelet in a Bag,"eggs, ham, Cheddar cheese, tomato, mushrooms, onion, green bell pepper, salsa","egg, ham, cheddar cheese, tomato, mushroom, onion, green bell pepper, salsa"
Chourico Stew,"water, Portuguese chourico sausage, potatoes, cabbage, carrots, onion, celery, mixed vegetables, parsley, garlic powder, celery salt, red pepper, cornstarch, water","water, chourico sausage, potato, cabbage, carrot, onion, celery, mixed vegetable, parsley, garlic powder, celery salt, red pepper, cornstarch"
Turkish Fish Stew,"water, couscous, olive oil, white onion, green bell pepper, garlic, artichoke hearts, capers, olives, stewed tomatoes, white wine, lemon juice, water, sumac, red pepper flakes, basil, cumin, ginger root, black pepper, tilapia fillets","water, couscous, olive oil, white onion, green bell pepper, garlic, artichoke heart, caper, olive, stewed tomato, white wine, lemon juice, sumac, red pepper flake, basil, cumin, ginger root, black pepper, tilapia fillet"
